,,Model,Family,Line,Type,"Launch Date","GPU Dimensions","OS Support","Additional power connector","Compute Units","Base Frequency","Boost Frequency","Game Frequency","Ray Accelerators","Peak Frequency","Peak Pixel Fill-Rate","Peak Texture Fill-Rate","Max Performance","Peak Half Precision (FP16) Performance","Peak Single Precision (FP32) Performance","Peak Double Precision (FP64) Performance",ROPs,"Stream Processors","Texture Units","Transistor Count","GPU Power","Typical Board Power (Desktop)","Minimum PSU Recommendation","Infinity Cache","Memory Speed","Max Memory Size","Memory Type","Memory Interface","Memory Bandwidth","HDMI 4K Support","4K H264 Decode","4K H264 Encode","H265/HEVC Decode","H265/HEVC Encode","AV1 Decode",DisplayPort,"Dual Link DVI",HDMI,Length,"Slot Size",VGA,"AMD Eyefinity Max Display Support","USB Type-C","Supported Technologies"
,on,"Radeon™ RX 570 (OEM)","Radeon™ 500 Series","Radeon™ RX 500 Series","Desktop, Notebook",4/18/2017,,"Windows 10 - 64-Bit Edition, Windows 7 - 32-Bit Edition, Windows 7 - 64-Bit Edition, Ubuntu x86 64-Bit, Linux x86_64",,,"926-1168 MHz","1206-1244 MHz",,,,"Up to 39.81 GP/s","Up to 159.23 GT/s","Up to 5.1 TFLOPs",,,,32,2048,128,"5.7 B",,"150 W","450 W",,"7 Gbps",8GB,GDDR5,256-bit,"Up to 224 GB/s",Yes,Yes,Yes,Yes,Yes,,"1.4 HDR",No,"4K60 Support",,,No,,,"AMD Radeon™ Software, AMD FreeSync™ Technology, 4th Gen GCN Architecture, AMD Radeon™ Chill, AMD Radeon™ ReLive, AMD Eyefinity Technology (Gaming), AMD CrossFire™ Technology, AMD CrossFire™ (Bridgeless), AMD Frame Rate Target Control, OpenCL® 2.0, OpenGL 4.6, AMD PowerTune Technology, Unified Video Decoder (UVD), AMD Virtual Super Resolution, The Vulkan® API"
,on,"Radeon™ 630","Radeon™ 600 Series","Radeon™ 600 Series","Desktop, Notebook","Q3   2019",,,,8,,"Up to 1219 MHz",,,,"Up to 9.80 GP/s","Up to 39.00 GT/s","Up to 1.25 TFLOPs",,,,8,512,32,,,,,,"6 Gbps",4GB,GDDR5,64-bit,"Up to 48 GB/s",Yes,Yes,Yes,Yes,Yes,,"1.4 HDR",No,"4K60 Support",,,,,,"AMD Radeon™ Software, AMD FreeSync™ Technology, 4th Gen GCN Architecture, AMD Radeon™ Chill, DirectX® 12 Technology, AMD Eyefinity Technology (Gaming), AMD App Acceleration, AMD Enduro™ Technology, 3rd Gen 14nm Process Technology, OpenCL® 2.0, OpenGL 4.5, AMD PowerTune Technology, AMD TressFX Hair, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API"
,on,"Radeon™ RX 570X","Radeon™ 500 Series","Radeon™ RX 500X Series","Desktop, Notebook",4/3/2018,,,,32,"1168 MHz","Up to 1244 MHz",,,,"Up to 39.81 GP/s","Up to 159.23 GT/s","Up to 5.1 TFLOPs",,,,32,2048,128,"5.7 B",,,,,"7 Gbps",8GB,GDDR5,256-bit,"Up to 224 GB/s",Yes,Yes,Yes,Yes,Yes,,"1.4 HDR",No,"4K60 Support",,,No,,,"AMD Radeon™ Software, AMD FreeSync™ Technology, 4th Gen GCN Architecture, AMD Radeon™ Chill, AMD Radeon™ ReLive, DirectX® 12 Technology, AMD App Acceleration, The Vulkan® API"
,on,"Radeon™ RX 560","Radeon™ 500 Series","Radeon™ RX 500 Series",Component,4/18/2017,,"Windows 10 - 64-Bit Edition, Windows 7 - 32-Bit Edition, Windows 7 - 64-Bit Edition, Ubuntu x86 64-Bit, Linux x86_64",,14/16,"1175 MHz","Up to 1275 MHz",,,,"Up to 20.40 GP/s","Up to 81.60 GT/s","Up to 2.6 TFLOPs",,,,16,896/1024,64,"3 B",,"60-80 W","450 W",,"7 Gbps",4GB,GDDR5,128-bit,"Up to 112 GB/s",Yes,Yes,Yes,Yes,Yes,,"1.4 HDR",No,"4K60 Support",,,No,,,"AMD Radeon™ Software, AMD FreeSync™ Technology, AMD LiquidVR™ Technology, 4th Gen GCN Architecture, AMD Radeon™ Chill, AMD Radeon™ ReLive, DirectX® 12 Technology, AMD Eyefinity Technology (Gaming), AMD App Acceleration, AMD CrossFire™ Technology, AMD CrossFire™ (Bridgeless), AMD Frame Rate Target Control, 3rd Gen 14nm Process Technology, OpenCL® 2.0, OpenGL 4.5, AMD PowerTune Technology, TrueAudio Next, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD Virtual Super Resolution, The Vulkan® API"
,on,"Radeon™ RX 560 (OEM)","Radeon™ 500 Series","Radeon™ RX 500 Series","Desktop, Notebook",4/18/2017,,"Windows 10 - 64-Bit Edition, Windows 7 - 32-Bit Edition, Windows 7 - 64-Bit Edition, Ubuntu x86 64-Bit, Linux x86_64",,14/16,"1090-1175 MHz","1200-1275 MHz",,,,"Up to 20.40 GP/s","Up to 81.60 GT/s","Up to 2.6 TFLOPs",,,,16,896/1024,64,"3 B",,"60-80 W","450 W",,"7 Gbps",4GB,GDDR5,128-bit,"Up to 112 GB/s",Yes,Yes,Yes,Yes,Yes,,"1.4 HDR",No,"4K60 Support",,,No,,,"AMD Radeon™ Software, AMD FreeSync™ Technology, AMD LiquidVR™ Technology, 4th Gen GCN Architecture, AMD Radeon™ Chill, AMD Radeon™ ReLive, DirectX® 12 Technology, AMD Eyefinity Technology (Gaming), AMD App Acceleration, AMD CrossFire™ Technology, AMD CrossFire™ (Bridgeless), AMD Frame Rate Target Control, 3rd Gen 14nm Process Technology, OpenCL® 2.0, OpenGL 4.5, AMD PowerTune Technology, TrueAudio Next, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD Virtual Super Resolution, The Vulkan® API"
,on,"Radeon™ 625","Radeon™ 600 Series","Radeon™ 600 Series",Notebook,"Q3 2019",,,,6,,"Up to 1024 MHz",,,,"Up to 8.20 GP/s","Up to 24.60 GT/s","Up to 800 GFLOPs",,,,8,384,24,,,,,,"4.5 Gbps",4GB,GDDR5,64-bit,"Up to 48 GB/s",No,No,No,No,No,,No,No,No,,,No,,,"AMD Radeon™ Software, AMD FreeSync™ Technology, 4th Gen GCN Architecture, AMD Radeon™ Chill, DirectX® 12 Technology, AMD Eyefinity Technology (Gaming), AMD App Acceleration, AMD Enduro™ Technology, 3rd Gen 14nm Process Technology, OpenCL® 2.0, OpenGL 4.5, AMD PowerTune Technology, AMD TressFX Hair, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API"
,on,"Radeon™ RX 560X","Radeon™ 500 Series","Radeon™ RX 500X Series","Desktop, Notebook",4/3/2018,,,,14/16,"1175 MHz","Up to 1275 MHz",,,,"Up to 20.40 GP/s","Up to 81.60 GT/s","Up to 2.6 TFLOPs",,,,16,896/1024,64,"3 B",,,,,"7 Gbps",4GB,GDDR5,128-bit,"Up to 112 GB/s",Yes,Yes,Yes,Yes,Yes,,"1.4 HDR",No,"4K60 Support",,,No,,,"AMD Radeon™ Software, AMD FreeSync™ Technology, 4th Gen GCN Architecture, AMD Radeon™ Chill, AMD Radeon™ ReLive, DirectX® 12 Technology, AMD App Acceleration, The Vulkan® API"
,on,"Radeon™ RX 550","Radeon™ 500 Series","Radeon™ RX 500 Series",Component,4/18/2017,,"Windows 10 - 64-Bit Edition, Windows 7 - 32-Bit Edition, Windows 7 - 64-Bit Edition, Ubuntu x86 64-Bit, Linux x86_64",,,,"Up to 1183 MHz",,,,,,"Up to 1.2 TFLOPs",,,,,,,,,"50 W","400 W",,"7 Gbps",4GB,GDDR5,128-bit,"Up to 112 GB/s",Yes,Yes,Yes,Yes,Yes,,"1.4 HDR",Yes,"4K60 Support",,,No,,,"AMD Radeon™ Software, AMD FreeSync™ Technology, AMD LiquidVR™ Technology, 4th Gen GCN Architecture, AMD Radeon™ Chill, AMD Radeon™ ReLive, DirectX® 12 Technology, AMD Eyefinity Technology (Gaming), AMD App Acceleration, AMD Frame Rate Target Control, 3rd Gen 14nm Process Technology, OpenCL® 2.0, OpenGL 4.5, AMD PowerTune Technology, TrueAudio Next, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD Virtual Super Resolution, The Vulkan® API"
,on,"Radeon™ 620","Radeon™ 600 Series","Radeon™ 600 Series",Notebook,"Q3 2019",,,,6,,"Up to 1024 MHz",,,,"Up to 8.20 GP/s","Up to 24.58 GT/s","Up to 800 GFLOPs",,,,8,320/384,20/24,,,,,,"4.5 Gbps",4GB,DDR3/GDDR5,64-bit,"Up to 48 GB/s",No,No,No,No,No,,No,No,No,,,No,,,"AMD Radeon™ Software, AMD FreeSync™ Technology, 4th Gen GCN Architecture, AMD Radeon™ Chill, DirectX® 12 Technology, AMD Eyefinity Technology (Gaming), AMD App Acceleration, AMD Enduro™ Technology, 3rd Gen 14nm Process Technology, OpenCL® 2.0, OpenGL 4.5, AMD PowerTune Technology, AMD TressFX Hair, TrueAudio Next, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API"
,on,"Radeon™ RX 550X","Radeon™ 500 Series","Radeon™ RX 500X Series","Desktop, Notebook",4/3/2018,,,,8/10,,"Up to 1287 MHz",,,,"Up to 20.60 GP/s","Up to 51.48 GT/s","Up to 1.65 TFLOPs",,,,16,512/640,40,,,,,,"7 Gbps",4GB,GDDR5,128-bit,"Up to 112 GB/s",Yes,Yes,Yes,Yes,Yes,,"1.4 HDR",Yes,"4K60 Support",,,No,,,"AMD Radeon™ Software, AMD FreeSync™ Technology, 4th Gen GCN Architecture, AMD Radeon™ Chill, AMD Radeon™ ReLive, DirectX® 12 Technology, AMD App Acceleration, The Vulkan® API"
,on,"Radeon™ RX 540","Radeon™ 500 Series","Radeon™ RX 500 Series",Notebook,4/18/2017,,"Windows 10 - 64-Bit Edition, Windows 7 - 32-Bit Edition, Windows 7 - 64-Bit Edition, Ubuntu x86 64-Bit, Linux x86_64",,8,,"Up to 1219 MHz",,,,"Up to 19.50 GP/s","Up to 39.01 GT/s","Up to 1.2 TFLOPs",,,,16,512,32,,,,,,"6 Gbps",4GB,GDDR5,128-bit,"Up to 96 GB/s",Yes,Yes,Yes,Yes,Yes,,"1.4 HDR",No,"4K60 Support",,,No,,,"AMD Radeon™ Software, AMD FreeSync™ Technology, 4th Gen GCN Architecture, AMD Radeon™ Chill, AMD Radeon™ ReLive, DirectX® 12 Technology, AMD Eyefinity Technology (Gaming), AMD App Acceleration, AMD Enduro™ Technology, 3rd Gen 14nm Process Technology, OpenCL® 2.0, OpenGL 4.5, AMD PowerTune Technology, AMD TressFX Hair, TrueAudio Next, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API"
,on,"Radeon™ 610","Radeon™ 600 Series","Radeon™ 600 Series",Notebook,"Q3 2019",,,,5,,"Up to 1030 MHz",,,,"Up to 4.10 GP/s","Up to 20.60 GT/s","Up to 660 GFLOPs",,,,4,320,20,,,,,,"4.5 Gbps",4GB,GDDR5,64-bit,"Up to 48 GB/s",No,No,No,No,No,,No,No,No,,,No,,,"AMD Radeon™ Software, Graphics Core Next Architecture, 1st Gen GCN Architecture, AMD Radeon™ ReLive, DirectX® 12 Technology, AMD App Acceleration, AMD Enduro™ Technology, 28nm Process Technology, OpenCL® 2.0, OpenGL 4.5, AMD PowerTune Technology, AMD TressFX Hair, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API"
,on,"Radeon™ 550X","Radeon™ 500 Series","Radeon™ 500X Series","Desktop, Notebook",4/3/2018,,,,8/10,,"Up to 1287 MHz",,,,"Up to 20.60 GP/s","Up to 51.48 GT/s","Up to 1.65 TFLOPs",,,,16,512/640,40,,,,,,"7 Gbps",4GB,GDDR5,64-bit,"Up to 56 GB/s",Yes,Yes,Yes,Yes,Yes,,"1.4 HDR",Yes,"4K60 Support",,,No,,,"AMD Radeon™ Software, AMD FreeSync™ Technology, 4th Gen GCN Architecture, AMD Radeon™ Chill, AMD Radeon™ ReLive, DirectX® 12 Technology, AMD App Acceleration, The Vulkan® API"
,on,"Radeon™ RX 540X","Radeon™ 500 Series","Radeon™ RX 500X Series","Desktop, Notebook",4/3/2018,,,,8,,"Up to 1219 MHz",,,,"Up to 19.50 GP/s","Up to 39.00 GT/s","Up to 1.25 TFLOPs",,,,16,512,32,,,,,,"6 Gbps",4GB,GDDR5,128-bit,"Up to 96 GB/s",Yes,Yes,Yes,Yes,Yes,,"1.4 HDR",No,"4K60 Support",,,No,,,"AMD Radeon™ Software, AMD FreeSync™ Technology, 4th Gen GCN Architecture, AMD Radeon™ Chill, AMD Radeon™ ReLive, DirectX® 12 Technology, AMD App Acceleration, The Vulkan® API"
,on,"Radeon™ 540","Radeon™ 500 Series","Radeon™ 500 Series",Notebook,,,,,8,,"Up to 1124 MHz",,,,,,"Up to 1.2 TFLOPs",,,,16,512,32,,,,,,"6 Gbps",4GB,GDDR5,64-bit,"Up to 48 GB/s",Yes,,,,,,"1.4 HDR",,"4K60 Support",,,,,,"AMD Radeon™ Software, AMD FreeSync™ Technology, 4th Gen GCN Architecture, AMD Radeon™ Chill, AMD Radeon™ ReLive, DirectX® 12 Technology, The Vulkan® API"
,on,"Radeon™ 540X","Radeon™ 500 Series","Radeon™ 500X Series","Desktop, Notebook",4/3/2018,,,,8,,"Up to 1219 MHz",,,,"Up to 9.80 GP/s","Up to 39.00 GT/s","Up to 1.25 TFLOPs",,,,8,512,32,,,,,,"6 Gbps",4GB,GDDR5,64-bit,"Up to 48 GB/s",Yes,Yes,Yes,Yes,Yes,,"1.4 HDR",No,"4K60 Support",,,,,,"AMD Radeon™ Software, AMD FreeSync™ Technology, 4th Gen GCN Architecture, AMD Radeon™ Chill, AMD Radeon™ ReLive, DirectX® 12 Technology, AMD App Acceleration, The Vulkan® API"
,on,"Radeon™ 535","Radeon™ 500 Series","Radeon™ 500 Series",Desktop,,,"Windows 10 - 64-Bit Edition, Windows 8.1 - 32-Bit Edition, Windows 8.1 - 64-Bit Edition",,6,,"Up to 1024 MHz",,,,"Up to 8.20 GP/s","Up to 24.60 GT/s",,,,,8,384,24,"834.00 M",,,,,"4.5 Gbps",4GB,GDDR5,64-bit,"Up to 48 GB/s",No,No,No,No,No,,,,No,,,,,,"DirectX® 12 Technology, 28nm Process Technology, The Vulkan® API"
,on,"Radeon™ 530","Radeon™ 500 Series","Radeon™ 500 Series","Desktop, Notebook",4/18/2017,,"Windows 10 - 64-Bit Edition, Windows 7 - 32-Bit Edition, Windows 7 - 64-Bit Edition, Ubuntu x86 64-Bit, Linux x86_64",,6,,"Up to 1024 MHz",,,,"Up to 8.20 GP/s","Up to 24.58 GT/s","Up to 800 GFLOPs",,,,8,320/384,20/24,,,,,,"4.5 Gbps",4GB,DDR3/GDDR5,64-bit,"Up to 48 GB/s",No,No,No,No,No,,No,No,No,,,No,,,"AMD Radeon™ Software, Graphics Core Next Architecture, 3rd Gen GCN Architecture, AMD Radeon™ ReLive, DirectX® 12 Technology, AMD App Acceleration, AMD Enduro™ Technology, AMD Frame Rate Target Control, 28nm Process Technology, OpenCL® 2.0, OpenGL 4.5, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD TressFX Hair, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API"
,on,"Radeon™ 520","Radeon™ 500 Series","Radeon™ 500 Series","Desktop, Notebook",4/18/2017,,"Windows 10 - 64-Bit Edition, Windows 7 - 32-Bit Edition, Windows 7 - 64-Bit Edition, Ubuntu x86 64-Bit, Linux x86_64",,5,,"Up to 1030 MHz",,,,"Up to 4.10 GP/s","Up to 20.60 GT/s","Up to 660 GFLOPs",,,,4,320,20,,,,,,"4.5 Gbps",4GB,GDDR5,64-bit,"Up to 48 GB/s",No,No,No,No,No,,No,No,No,,,No,,,"AMD Radeon™ Software, Graphics Core Next Architecture, 1st Gen GCN Architecture, AMD Radeon™ ReLive, DirectX® 12 Technology, AMD App Acceleration, AMD Enduro™ Technology, 28nm Process Technology, OpenCL® 2.0, OpenGL 4.5, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD TressFX Hair, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API"
,on,"AMD Radeon™ RX 480","Radeon™ 400 Series","Radeon™ RX 400 Series",Component,,,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, Ubuntu x86 64-Bit, Linux x86_64",,36,"1120 MHz","Up to 1266 MHz",,,,,,"Up to 5.8 TFLOPs",,,,,2304,,,"110 W","150 W","500 W",,"7 Gbps",4GB,GDDR5,256-bit,"Up to 224 GB/s",Yes,Yes,Yes,Yes,Yes,,"1.4 HDR",No,"4K60 Support",,,No,,,"AMD Radeon™ VR Ready Premium, AMD FreeSync™ Technology, 4th Gen GCN Architecture, AMD Radeon™ Chill, AMD Radeon™ ReLive, DirectX® 12 Technology, AMD Eyefinity Technology (Gaming), Catalyst Software, AMD CrossFire™ Technology, AMD CrossFire™ (Bridgeless), AMD Frame Rate Target Control, 3rd Gen 14nm Process Technology, OpenCL® 2.0, OpenGL 4.5, AMD PowerTune Technology, TrueAudio Next, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD Virtual Super Resolution, The Vulkan® API, AMD ZeroCore Power Technology, AMD Gaming Evolved Client"
,on,"Radeon™ RX 470","Radeon™ 400 Series","Radeon™ RX 400 Series",Component,,,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, Ubuntu x86 64-Bit, Linux x86_64",,32,"926 MHz","Up to 1206 MHz",,,,,,"Up to 4.9 TFLOPs",,,,,2048,,,"85-110 W","120 W","450 W",,"6.6 Gbps",4GB,GDDR5,256-bit,"Up to 211 GB/s",Yes,Yes,Yes,Yes,Yes,,"1.4 HDR",No,"4K60 Support",,,No,,,"AMD FreeSync™ Technology, 4th Gen GCN Architecture, AMD Radeon™ Chill, AMD Radeon™ ReLive, DirectX® 12 Technology, AMD Eyefinity Technology (Gaming), Catalyst Software, AMD CrossFire™ Technology, AMD CrossFire™ (Bridgeless), AMD Frame Rate Target Control, 3rd Gen 14nm Process Technology, OpenCL® 2.0, OpenGL 4.5, AMD PowerTune Technology, TrueAudio Next, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD Virtual Super Resolution, The Vulkan® API, AMD ZeroCore Power Technology, AMD Gaming Evolved Client"
,on,"Radeon™ RX 460","Radeon™ 400 Series","Radeon™ RX 400 Series",Component,,,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, Ubuntu x86 64-Bit, Linux x86_64",,14,"1090 MHz","Up to 1200 MHz",,,,,,"Up to 2.2 TFLOPs",,,,,896,,,"35-48 W","70 W","400 W",,"7 Gbps",2GB,GDDR5,128-bit,"Up to 112 GB/s",Yes,Yes,Yes,Yes,Yes,,"1.4 HDR",No,"4K60 Support",,,No,,,"AMD FreeSync™ Technology, 4th Gen GCN Architecture, AMD Radeon™ Chill, AMD Radeon™ ReLive, DirectX® 12 Technology, AMD Eyefinity Technology (Gaming), Catalyst Software, AMD CrossFire™ (Bridgeless), AMD Frame Rate Target Control, 3rd Gen 14nm Process Technology, OpenCL® 2.0, OpenGL 4.5, AMD PowerTune Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD Virtual Super Resolution, The Vulkan® API, AMD ZeroCore Power Technology"
,on,"AMD Radeon™ R9 Fury X","AMD Radeon™ R9 Series","AMD Radeon™ R9 Fury Series",Component,,,,,64,,"Up to 1050 MHz",,,,,,,,,,,4096,,,,"275 W",,,,4GB,"High Bandwidth Memory (HBM)",,"Up to 512 GB/s",,,,,,,Yes,No,Yes,,,No,6,,"AMD App Acceleration, Catalyst Software, AMD Frame Rate Target Control, AMD FreeSync™ Technology, AMD HD3D Technology, AMD Mantle API, AMD PowerTune Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD Gaming Evolved Client, AMD LiquidVR™ Technology, AMD TressFX Hair, AMD Virtual Super Resolution, AMD Eyefinity Technology (Gaming), OpenCL® 2.0, OpenGL 4.5, DirectX® 12 Technology"
,on,"AMD Radeon™ R9 Fury","AMD Radeon™ R9 Series","AMD Radeon™ R9 Fury Series",Component,,,,,56,,"Up to 1000 MHz",,,,,,,,,,,3584,,,,"275 W",,,,4GB,"High Bandwidth Memory (HBM)",4096-bit,"Up to 512 GB/s",,,,,,,Yes,No,Yes,,,No,6,,"AMD App Acceleration, Catalyst Software, AMD Frame Rate Target Control, AMD FreeSync™ Technology, AMD HD3D Technology, AMD Mantle API, AMD PowerTune Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD Gaming Evolved Client, AMD LiquidVR™ Technology, AMD TressFX Hair, AMD Virtual Super Resolution, AMD Eyefinity Technology (Gaming), The Vulkan® API, OpenCL® 2.0, OpenGL 4.5, DirectX® 12 Technology"
